,name,lon,lat
3648,Flushing Ave & Vanderbilt Ave,-73.97077560424805,40.697950315695444
470,W 20 St & 8 Ave,-74.00004031,40.74345335
3323,W 106 St & Central Park West,-73.9605909006,40.7981856
150,E 2 St & Avenue C,-73.98085795,40.7208736
485,W 37 St & 5 Ave,-73.98338988,40.75038009
399,Lafayette Ave & St James Pl,-73.9647628,40.68851534
267,Broadway & W 36 St,-73.98765428,40.75097711
3365,3 St & 7 Ave,-73.97839676,40.6703837
3598,Newton Rd & 44 St,-73.9142678,40.7595701
3684,W 12 St & W 4 St,-74.00398269295692,40.73756121181137
2012,E 27 St & 1 Ave,-73.976806,40.739445
3582,Lincoln Pl & Classon Ave,-73.9609,40.6721683
503,E 20 St & Park Ave,-73.98751968,40.73827428
3660,W 16 St & 8 Ave,-74.001384973526,40.741021509002664
369,Washington Pl & 6 Ave,-74.00026394,40.73224119
3709,W 15 St & 6 Ave,-73.99642959237099,40.738046142482766
3419,Douglass St & 4 Ave,-73.98154004,40.6792788
3226,W 82 St & Central Park West,-73.97137,40.78275
3294,E 91 St & Park Ave,-73.955327,40.7835016
453,W 22 St & 8 Ave,-73.99915362,40.74475148
151,Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034
3374,Central Park North & Adam Clayton Powell Blvd,-73.955613,40.799484
252,MacDougal St & Washington Sq,-73.99852205,40.73226398
357,E 11 St & Broadway,-73.99158043,40.73261787
516,E 47 St & 1 Ave,-73.96784384,40.75206862
499,Broadway & W 60 St,-73.98191841,40.76915505
368,Carmine St & 6 Ave,-74.00214988,40.73038599
460,S 4 St & Wythe Ave,-73.96590294,40.71285887
514,12 Ave & W 40 St,-74.00277668,40.76087502
301,E 2 St & Avenue B,-73.98368779,40.72217444
478,11 Ave & W 41 St,-73.99884222,40.76030096
3440,Fulton St & Adams St,-73.98949474096298,40.692418292578466
492,W 33 St & 7 Ave,-73.99093085,40.75019995
313,Washington Ave & Park Ave,-73.96751037,40.69610226
3092,Berry St & N 8 St,-73.95852515,40.7190095
437,Macon St & Nostrand Ave,-73.9500479759,40.6809833854
3364,Carroll St & 5 Ave,-73.9814832,40.6751622
308,St James Pl & Oliver St,-73.99851193,40.71307916
480,W 53 St & 10 Ave,-73.99061728,40.76669671
3255,8 Ave & W 31 St,-73.9946848154068,40.7505853470215
3110,Meserole Ave & Manhattan Ave,-73.95299117,40.72708584
3676,Van Brunt St & Van Dyke St,-74.01472628116608,40.6758329439129
3096,Union Ave & N 12 St,-73.95242,40.71924
490,8 Ave & W 33 St,-73.993934,40.751551
3405,5 St & 6 Ave,-73.98208968,40.6704836
481,S 3 St & Bedford Ave,-73.96264403,40.71260486
3474,6 Ave & Spring St,-74.00412082672119,40.7252556952547
479,9 Ave & W 45 St,-73.9912551,40.76019252
3533,St. Nicholas Ave & W 126 St,-73.9518776,40.8114323
532,S 5 Pl & S 5 St,-73.960876,40.710451
2008,Little West St & 1 Pl,-74.01677685,40.70569254
450,W 49 St & 8 Ave,-73.98788205,40.76227205
321,Cadman Plaza E & Red Cross Pl,-73.98971773,40.69991755
127,Barrow St & Hudson St,-74.00674436,40.73172428
3502,Lexington Ave & E 111 St,-73.9441232,40.7954121
3714,Division Av & Hooper St,-73.9544353965357,40.70684203101325
324,DeKalb Ave & Hudson Ave,-73.981013,40.689888
258,DeKalb Ave & Vanderbilt Ave,-73.96885458,40.68940747
146,Hudson St & Reade St,-74.0091059,40.71625008
334,W 20 St & 7 Ave,-73.99726235,40.74238787
3106,Driggs Ave & N Henry St,-73.94308,40.72325
502,Henry St & Grand St,-73.981346,40.714215
3715,Driggs Ave & N 9 St,-73.95520135760307,40.71816969454208
3659,W 17 St & 9 Ave,-74.00413691997528,40.74294891660091
298,3 Ave & Schermerhorn St,-73.9796772,40.68683208
326,E 11 St & 1 Ave,-73.98426726,40.72953837
462,W 22 St & 10 Ave,-74.00451887,40.74691959
473,Rivington St & Chrystie St,-73.9919254,40.72110063
3721,31 St & Newtown Ave,-73.9209334552288,40.7675487799971
3113,Greenpoint Ave & Manhattan Ave,-73.95394,40.73026
3686,Gansevoort St & Hudson St,-74.00507032871246,40.739448201304036
310,State St & Smith St,-73.98912867,40.68926942
3258,W 27 St & 10 Ave,-74.00218427181244,40.75018156325683
382,University Pl & E 14 St,-73.99200509,40.73492695
3427,Lafayette St & Jersey St,-73.99600982666016,40.72430527250332
423,W 54 St & 9 Ave,-73.98690506,40.76584941
254,W 11 St & 6 Ave,-73.99800419,40.73532427
